hex,callsign,datetime,operator,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,degraded
ae07fe,RCH580,2026-05-25 22:08:42.086856,,98-0052,1747,22000,49.738174,9.00816,C-17A Globemaster,252,441,False
ae1462,RCH188,2026-05-25 22:08:42.086879,,06-6164,7210,36000,50.190651,12.217226,C-17A Globemaster,263,479,False
ae4f12,MOOSE67,2026-05-25 22:08:42.086888,,10-0218,7643,33025,44.387463,23.097618,C-17A Globemaster,140,444,False
ae146c,MOOSE59,2026-05-25 22:08:42.086894,,07-7174,7641,31000,41.545307,24.124035,C-17A Globemaster,171,478,False
06a249,LHOB270,2026-05-25 22:08:42.086902,,A7-MAB,4014,32000,29.258743,33.893509,C-17A Globemaster,288,413,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:08:42.086912,,19-46065,0711,16000,25.7,58.2,KC-46A Pegasus,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:08:42.086919,,18-46047,0245,24825,24.9,55.3,KC-46A Pegasus,,,True
ae1466,MOOSE69,2026-05-25 22:08:42.086925,,06-6168,3304,35000,31.5,33.5,C-17A Globemaster,,,True
ae07fe,RCH580,2026-05-25 22:09:43.265155,,98-0052,1747,21025,49.698769,8.82045,C-17A Globemaster,251,452,False
ae1462,RCH188,2026-05-25 22:09:43.265202,,06-6164,0606,35125,50.188808,12.022493,C-17A Globemaster,269,459,False
ae4f12,MOOSE67,2026-05-25 22:09:43.265213,,10-0218,7643,33025,44.293152,23.209444,C-17A Globemaster,140,440,False
ae146c,MOOSE59,2026-05-25 22:09:43.265221,,07-7174,7433,31000,41.424633,24.179277,C-17A Globemaster,155,453,False
06a249,LHOB270,2026-05-25 22:09:43.265228,,A7-MAB,4014,32000,29.295135,33.76664,C-17A Globemaster,288,413,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:09:43.265242,,19-46065,0711,16000,25.5,57.9,KC-46A Pegasus,,,True
ae1466,MOOSE69,2026-05-25 22:09:43.265250,,06-6168,3304,Unavailable,31.5,33.5,C-17A Globemaster,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:09:43.265255,,18-46047,0245,24825,24.9,55.4,KC-46A Pegasus,,,True
ae07fe,RCH580,2026-05-25 22:10:44.723473,,98-0052,1747,18975,49.662052,8.640728,C-17A Globemaster,253,415,False
ae1462,RCH188,2026-05-25 22:10:44.723494,,06-6164,0606,33550,50.188854,11.817675,C-17A Globemaster,271,451,False
ae4f12,MOOSE67,2026-05-25 22:10:44.723500,,10-0218,7643,33025,44.198147,23.318069,C-17A Globemaster,141,431,False
ae146c,MOOSE59,2026-05-25 22:10:44.723504,,07-7174,7433,31000,41.302704,24.239115,C-17A Globemaster,161,461,False
06a249,LHOB270,2026-05-25 22:10:44.723508,,A7-MAB,4014,32000,29.332378,33.636528,C-17A Globemaster,288,414,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:10:44.723517,,19-46065,0711,16000,25.7,58.3,KC-46A Pegasus,,,True
ae1466,MOOSE69,2026-05-25 22:10:44.723521,,06-6168,3304,35000,31.5,33.5,C-17A Globemaster,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:10:44.723525,,18-46047,0245,24825,24.9,55.3,KC-46A Pegasus,,,True
ae07fe,RCH580,2026-05-25 22:11:46.244887,,98-0052,1747,16950,49.623802,8.462899,C-17A Globemaster,252,415,False
ae1462,RCH188,2026-05-25 22:11:46.244908,,06-6164,0606,32100,50.189724,11.612698,C-17A Globemaster,269,464,False
ae4f12,MOOSE67,2026-05-25 22:11:46.244915,,10-0218,7643,33025,44.093662,23.441961,C-17A Globemaster,140,445,False
ae146c,MOOSE59,2026-05-25 22:11:46.244919,,07-7174,7433,31000,41.176441,24.295769,C-17A Globemaster,160,462,False
06a249,LHOB270,2026-05-25 22:11:46.244923,,A7-MAB,4014,32000,29.369062,33.50771,C-17A Globemaster,287,414,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:11:46.244932,,19-46065,0711,16000,25.8,58.6,KC-46A Pegasus,,,True
ae1466,MOOSE69,2026-05-25 22:11:46.244936,,06-6168,3304,35000,31.5,33.7,C-17A Globemaster,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:11:46.244940,,18-46047,0245,24825,25.0,55.3,KC-46A Pegasus,,,True
ae07fe,RCH580,2026-05-25 22:12:47.583794,,98-0052,1747,14900,49.587605,8.295118,C-17A Globemaster,251,417,False
ae1462,RCH188,2026-05-25 22:12:47.583831,,06-6164,7210,30775,50.192856,11.422257,C-17A Globemaster,274,480,False
ae4f12,MOOSE67,2026-05-25 22:12:47.583838,,10-0218,7643,33025,44.000427,23.550381,C-17A Globemaster,140,453,False
ae146c,MOOSE59,2026-05-25 22:12:47.583843,,07-7174,7433,31000,41.059502,24.349825,C-17A Globemaster,162,462,False
06a249,LHOB270,2026-05-25 22:12:47.583849,,A7-MAB,4014,32000,29.404814,33.381958,C-17A Globemaster,287,412,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:12:47.583861,,19-46065,0711,16000,25.8,58.7,KC-46A Pegasus,,,True
ae1466,MOOSE69,2026-05-25 22:12:47.583868,,06-6168,3304,35000,31.5,33.7,C-17A Globemaster,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:12:47.583872,,18-46047,0245,24825,25.0,55.3,KC-46A Pegasus,,,True
adfeb8,SAM535,2026-05-25 22:13:38.605682,,98-0002,1173,35000,50.657784,5.081871,C-32 AIR FORCE TWO,105,439,False
ae2fa7,RCH466,2026-05-25 22:13:38.605710,,08-8195,0634,1025,49.438988,7.647598,C-17A Globemaster,81,190,False
ae07fe,RCH580,2026-05-25 22:13:38.605719,,98-0052,1747,13200,49.569965,8.16364,C-17A Globemaster,262,403,False
ae1462,RCH188,2026-05-25 22:13:38.605728,,06-6164,7210,29125,50.194153,11.23585,C-17A Globemaster,268,471,False
ae4f12,MOOSE67,2026-05-25 22:13:38.605736,,10-0218,7643,33025,43.921631,23.640556,C-17A Globemaster,141,446,False
ae146c,MOOSE59,2026-05-25 22:13:38.605742,,07-7174,7433,31000,40.957909,24.396385,C-17A Globemaster,161,455,False
06a249,LHOB270,2026-05-25 22:13:38.605748,,A7-MAB,4014,32000,29.434616,33.276691,C-17A Globemaster,287,410,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:13:38.605765,,19-46065,0711,16000,25.5,58.0,KC-46A Pegasus,,,True
ae1466,UNKNOWN CALLSIGN,2026-05-25 22:13:38.605771,,06-6168,3304,35000,31.5,33.7,C-17A Globemaster,,,True
ae5f9a,UNKNOWN CALLSIGN,2026-05-25 22:13:38.605775,,18-46047,0245,24825,24.9,55.3,KC-46A Pegasus,,,True
aed555,CABAL41,2026-05-25 22:18:25.890485,,19-46110,1701,25000,37.01498,-119.528175,KC-46A Pegasus,72,471,False
ae07a9,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890508,,59-1515,3644,26500,37.765385,-119.329369,KC-135R Stratotanker,93,437,False
ae0421,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890516,,58-0089,1744,25975,37.768295,-119.319084,KC-135R Stratotanker,94,420,False
ae07a8,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890522,,59-1508,7442,31000,46.447742,-116.997635,KC-135R Stratotanker,164,414,False
ae5f95,SNAP30,2026-05-25 22:18:25.890535,,18-46042,2134,25000,40.334717,-90.779762,KC-46A Pegasus,263,383,False
adfeb3,VCTRY01,2026-05-25 22:18:25.890543,,73-1676,1623,31050,40.478439,-87.570068,E-4B Nightwatch,97,545,False
ae1179,RCH435,2026-05-25 22:18:25.890552,,02-1107,7301,7450,37.417309,-75.891327,C-17A Globemaster,162,276,False
ae07d5,RCH529,2026-05-25 22:18:25.890556,,92-3291,7251,30025,44.846603,-64.148186,C-17A Globemaster,271,402,False
43c1c6,RRR6115,2026-05-25 22:18:25.890562,,ZZ176,3176,34000,13.572398,-17.877695,C-17A Globemaster,343,455,False
adfeb8,SAM535,2026-05-25 22:18:25.890567,,98-0002,1173,30500,50.464645,6.000031,C-32 AIR FORCE TWO,108,466,False
ae07fe,RCH580,2026-05-25 22:18:25.890570,,98-0052,1747,8775,49.493481,7.443657,C-17A Globemaster,261,285,False
ae2fa7,RCH466,2026-05-25 22:18:25.890574,,08-8195,0634,9000,49.658157,7.793065,C-17A Globemaster,315,304,False
ae1462,RCH188,2026-05-25 22:18:25.890578,,06-6164,7210,21975,50.126194,10.335459,C-17A Globemaster,251,384,False
ae4f12,MOOSE67,2026-05-25 22:18:25.890584,,10-0218,7643,33025,43.343746,23.866062,C-17A Globemaster,173,472,False
ae146c,MOOSE59,2026-05-25 22:18:25.890588,,07-7174,7433,31000,40.389771,24.658522,C-17A Globemaster,161,453,False
06a249,LHOB270,2026-05-25 22:18:25.890591,,A7-MAB,4014,32000,29.601746,32.67878,C-17A Globemaster,287,411,False
ae0696,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890604,,63-8884,Unavailable,Unavailable,56.6,-120.9,KC-135R Stratotanker,,,True
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890611,,19-46065,0711,16000,25.2,56.6,KC-46A Pegasus,,,True
ae07e0,X,2026-05-25 22:18:25.890616,,94-0066,Unavailable,35000,38.5,-116.3,C-17A Globemaster,,,True
ae5e07,UNKNOWN CALLSIGN,2026-05-25 22:18:25.890620,,17-46026,Unavailable,7675,36.7,-28.8,KC-46A Pegasus,,,True
aed555,CABAL41,2026-05-25 22:19:27.296993,,19-46110,1701,25000,37.065407,-119.371872,KC-46A Pegasus,70,485,False
ae07a9,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297019,,59-1515,3644,26500,37.756161,-119.184669,KC-135R Stratotanker,93,454,False
ae0421,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297029,,58-0089,1744,25975,37.760281,-119.160889,KC-135R Stratotanker,94,433,False
ae07a8,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297035,,59-1508,7442,31000,46.330372,-116.944534,KC-135R Stratotanker,163,427,False
ae5f95,SNAP30,2026-05-25 22:19:27.297050,,18-46042,2134,25000,40.319729,-90.922913,KC-46A Pegasus,263,391,False
adfeb3,VCTRY01,2026-05-25 22:19:27.297056,,73-1676,1623,31050,40.457748,-87.366638,E-4B Nightwatch,97,543,False
ae1179,RCH435,2026-05-25 22:19:27.297065,,02-1107,7301,6850,37.34341,-75.88327,C-17A Globemaster,175,264,False
ae07d5,RCH529,2026-05-25 22:19:27.297069,,92-3291,7251,30000,44.84037,-64.307404,C-17A Globemaster,260,401,False
43c1c6,RRR6115,2026-05-25 22:19:27.297075,,ZZ176,3176,34000,13.687912,-17.913256,C-17A Globemaster,343,456,False
adfeb8,SAM535,2026-05-25 22:19:27.297080,,98-0002,1173,28100,50.423271,6.1977,C-32 AIR FORCE TWO,108,501,False
ae07fe,RCH580,2026-05-25 22:19:27.297084,,98-0052,1747,6600,49.479874,7.320502,C-17A Globemaster,262,277,False
ae2fa7,RCH466,2026-05-25 22:19:27.297088,,08-8195,0634,10750,49.721375,7.69838,C-17A Globemaster,323,327,False
ae1462,RCH188,2026-05-25 22:19:27.297092,,06-6164,7210,22000,50.085445,10.153048,C-17A Globemaster,246,483,False
ae4f12,MOOSE67,2026-05-25 22:19:27.297098,,10-0218,7643,33025,43.215,23.881998,C-17A Globemaster,175,471,False
ae146c,MOOSE59,2026-05-25 22:19:27.297101,,07-7174,7433,31000,40.263363,24.718218,C-17A Globemaster,161,460,False
06a249,LHOB270,2026-05-25 22:19:27.297105,,A7-MAB,4014,32000,29.631245,32.550926,C-17A Globemaster,284,410,False
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297119,,19-46065,0711,16025,25.3,57.1,KC-46A Pegasus,,,True
ae07e0,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297124,,94-0066,Unavailable,35000,38.4,-116.0,C-17A Globemaster,,,True
ae5e07,UNKNOWN CALLSIGN,2026-05-25 22:19:27.297128,,17-46026,3514,6550,36.7,-28.8,KC-46A Pegasus,,,True
aed555,CABAL41,2026-05-25 22:22:38.684477,,19-46110,1701,25000,37.214211,-118.878128,KC-46A Pegasus,63,539,False
ae07a9,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684515,,59-1515,3644,26475,37.677578,-118.758209,KC-135R Stratotanker,146,518,False
ae0421,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684522,,58-0089,1744,26000,37.62598,-118.722015,KC-135R Stratotanker,148,530,False
ae07a8,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684528,,59-1508,7442,31025,45.979168,-116.778145,KC-135R Stratotanker,161,421,False
ae5f95,SNAP30,2026-05-25 22:22:38.684545,,18-46042,2134,25000,40.273228,-91.366768,KC-46A Pegasus,264,377,False
adfeb3,VCTRY01,2026-05-25 22:22:38.684553,,73-1676,1623,31050,40.392307,-86.749107,E-4B Nightwatch,98,544,False
ae1179,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684562,,02-1107,7301,6850,37.105789,-75.859207,C-17A Globemaster,177,245,False
ae07d5,RCH529,2026-05-25 22:22:38.684565,,92-3291,7251,30025,44.787369,-64.79998,C-17A Globemaster,261,400,False
43c1c6,RRR6115,2026-05-25 22:22:38.684574,,ZZ176,3176,34000,14.089593,-17.999748,C-17A Globemaster,359,459,False
adfeb8,SAM535,2026-05-25 22:22:38.684580,,98-0002,1173,21550,50.243954,6.731238,C-32 AIR FORCE TWO,171,465,False
ae07fe,RCH580,2026-05-25 22:22:38.684584,,98-0052,1747,2975,49.413361,7.366367,C-17A Globemaster,84,224,False
ae2fa7,RCH466,2026-05-25 22:22:38.684588,,08-8195,0634,15500,50.000874,7.434404,C-17A Globemaster,328,388,False
ae1462,RCH188,2026-05-25 22:22:38.684592,,06-6164,7210,22000,49.948376,9.594648,C-17A Globemaster,249,427,False
ae4f12,MOOSE67,2026-05-25 22:22:38.684598,,10-0218,7643,33025,42.808727,23.942858,C-17A Globemaster,179,470,False
ae146c,MOOSE59,2026-05-25 22:22:38.684601,,07-7174,7433,31000,39.887531,24.88567,C-17A Globemaster,161,449,False
06a249,LHOB270,2026-05-25 22:22:38.684605,,A7-MAB,4014,32000,29.720169,32.152122,C-17A Globemaster,284,404,False
ae0696,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684616,,63-8884,3477,Unavailable,56.6,-120.9,KC-135R Stratotanker,,,True
ae5fac,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684623,,19-46065,0711,16000,25.3,56.8,KC-46A Pegasus,,,True
ae07e0,UNKNOWN CALLSIGN,2026-05-25 22:22:38.684627,,94-0066,Unavailable,35000,38.8,-115.7,C-17A Globemaster,,,True
ae5e07,RCH052,2026-05-25 22:22:38.684631,,17-46026,Unavailable,3375,36.7,-28.7,KC-46A Pegasus,,,True
