hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
c2afc7,2026-08-14 01:03:59.890162,CFC3603,177702,2444,2950,21.325653,-158.12912,C-17A Globemaster,89,174,192,False,adsb_icao
ae49c5,2026-08-14 01:03:59.890193,UNK C/S,09-9209,2231,9925,21.446657,-157.617569,C-17A Globemaster,236,361,-121,False,mlat
ae0483,2026-08-14 01:03:59.890219,UNK C/S,60-0339,4604,6525,64.857918,-147.514313,KC-135R Stratotanker,54,249,-2612,False,mlat
afde25,2026-08-14 01:03:59.890229,UNK C/S,,0642,24000,39.520409,-122.878021,E-6B TACAMO,238,453,2,False,mlat
ae117c,2026-08-14 01:03:59.890238,UNK C/S,02-1110,4620,3650,46.962242,-122.466179,C-17A Globemaster,350,200,-1236,False,mlat
ae538b,2026-08-14 01:03:59.890260,DEPOT11,168597,4672,0,32.753658,-117.184319,E-2 Hawkeye,213,559,64,False,mlat
ae0572,2026-08-14 01:03:59.890289,RCH2038,86-0021,1624,35000,34.362579,-99.230461,C-5M Galaxy,44,480,-64,False,adsb_icao
ae5e13,2026-08-14 01:03:59.890317,KANZA54,17-46038,2122,4200,37.766777,-97.057556,KC-46A Pegasus,5,260,-76,False,mlat
ae01d3,2026-08-14 01:03:59.890327,HOOVR29,62-4129,4232,2175,41.15604,-95.980057,RC-135 Rivet Joint,272,198,576,False,adsb_icao
ae01cb,2026-08-14 01:03:59.890334,TOPCT35,62-4135,2610,4150,40.908096,-95.575073,RC-135 Rivet Joint,287,217,128,False,adsb_icao
afd85f,2026-08-14 01:03:59.890342,UNK C/S,,0667,20000,31.091246,-94.689781,E-6B TACAMO,357,408,-76,False,mlat
ae5e12,2026-08-14 01:03:59.890352,RCH429,17-46037,2132,31000,39.598537,-92.646721,KC-46A Pegasus,64,516,0,False,mlat
ae015f,2026-08-14 01:03:59.890390,RCH406,58-0119,2344,6950,35.962578,-84.026955,KC-135R Stratotanker,224,183,-16,False,mlat
ae5ba6,2026-08-14 01:03:59.890404,FIXER02,168993,5101,4525,30.058409,-80.674805,E-2 Hawkeye,185,164,256,False,adsb_icao
ae0804,2026-08-14 01:03:59.890412,RCH696,99-0058,7147,30000,38.821106,-80.226585,C-17A Globemaster,249,432,,False,adsb_icao
ae07cf,2026-08-14 01:03:59.890452,RCH405,89-1191,7047,30000,41.990337,-71.881348,C-17A Globemaster,212,447,0,False,mlat
33fe7d,2026-08-14 01:03:59.890465,IAM1437,MM62227,6662,35000,17.825598,-24.236427,KC-46A Pegasus,30,461,,False,adsb_icao
ae49c3,2026-08-14 01:03:59.890473,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:03:59.890483,RCH312,00-0177,1142,10875,49.813847,7.067792,C-17A Globemaster,184,324,-1329,False,mlat
06a256,2026-08-14 01:03:59.890491,LHOB282,A7-MAE,4311,33000,35.733963,22.373365,C-17A Globemaster,114,481,,False,adsb_icao
ae146f,2026-08-14 01:03:59.890498,MOOSE59,07-7177,0762,34000,38.48407,24.913782,C-17A Globemaster,340,488,0,False,mlat
ae04dc,2026-08-14 01:03:59.890505,UNK C/S,57-1461,3423,19000,30.922579,35.338741,KC-135R Stratotanker,132,452,0,False,mlat
ae068e,2026-08-14 01:03:59.890513,UNK C/S,62-3529,3416,21050,31.132334,36.33456,KC-135R Stratotanker,262,430,0,False,mlat
ae145b,2026-08-14 01:03:59.890526,RCH283,06-6157,Unavailable,Unavailable,32.1,31.7,C-17A Globemaster,,,,False,mode_s
ae04eb,2026-08-14 01:03:59.890536,UNK C/S,61-0311,3561,24975,49.2,-112.4,KC-135R Stratotanker,,,,False,mode_s
ae11e6,2026-08-14 01:03:59.890545,UNK C/S,78-0578,Unavailable,Unavailable,42.3,-88.0,E-3G AWACS,,,,False,mode_s
ae5bc2,2026-08-14 01:03:59.890552,KROME11,16-46017,Unavailable,12000,46.6,-113.9,KC-46A Pegasus,,,,False,mode_s
aefa7d,2026-08-14 01:03:59.890560,UNK C/S,,Unavailable,Unavailable,26.4,-96.8,E-6B TACAMO,,,,False,mode_s
ae056b,2026-08-14 01:03:59.890567,RCH2036,86-0014,Unavailable,7225,31.5,-106.1,C-5M Galaxy,,,,False,mode_s
ae0593,2026-08-14 01:03:59.890574,UNK C/S,58-0113,3576,26000,49.3,-112.5,KC-135R Stratotanker,,,,False,mode_s
c2afc7,2026-08-14 01:05:00.107126,CFC3603,177702,2444,2425,21.325287,-158.077774,C-17A Globemaster,89,171,-960,False,adsb_icao
ae49c5,2026-08-14 01:05:00.107147,UNK C/S,09-9209,2231,9925,21.384548,-157.713409,C-17A Globemaster,238,371,9,False,mlat
ae0483,2026-08-14 01:05:00.107157,UNK C/S,60-0339,4604,4250,64.91777,-147.437073,KC-135R Stratotanker,19,254,-2467,False,mlat
afde25,2026-08-14 01:05:00.107163,UNK C/S,,0642,24000,39.455025,-123.011932,E-6B TACAMO,238,443,0,False,mlat
ae117c,2026-08-14 01:05:00.107169,UNK C/S,02-1110,4620,2700,47.020222,-122.47213,C-17A Globemaster,356,195,-618,False,mlat
ae0572,2026-08-14 01:05:00.107201,RCH2038,86-0021,1624,35000,34.45816,-99.117645,C-5M Galaxy,44,479,64,False,adsb_icao
ae5e13,2026-08-14 01:05:00.107220,KANZA54,17-46038,2122,4225,37.812328,-97.114128,KC-46A Pegasus,268,306,-49,False,mlat
ae01d3,2026-08-14 01:05:00.107227,HOOVR29,62-4129,4232,3075,41.112946,-96.012268,RC-135 Rivet Joint,182,201,640,False,adsb_icao
