hex,callsign,datetime,squawk,altitude,latitude,longitude,type,heading,ground speed,indicated airspeed
ae1235,RCH863,2025-05-24 14:56:54.216180,727,34000,46.949306,-113.361664,C-17A Globemaster,290,443,
ae1449,RCH045,2025-05-24 14:56:54.216208,7376,36000,38.985828,-97.424042,C-17A Globemaster,249,388,
ae20c6,RCH878,2025-05-24 14:56:54.216218,1772,34975,41.83287,-85.72242,C-17A Globemaster,82,530,
ae1176,GRIT58,2025-05-24 14:56:54.216225,4501,875,25.567745,-80.117851,C-17A Globemaster,195,234,
ae10b5,FAMUS62,2025-05-24 14:56:54.216231,1767,2350,38.639809,-76.870155,C-17A Globemaster,2,245,
ae1449,RCH045,2025-05-24 14:57:54.549380,7376,36000,38.947117,-97.551437,C-17A Globemaster,249,390,
ae20c6,RCH878,2025-05-24 14:57:54.549399,1772,35000,41.853653,-85.521271,C-17A Globemaster,82,547,
ae1176,GRIT58,2025-05-24 14:57:54.549407,4501,900,25.564636,-80.17527,C-17A Globemaster,340,247,
ae10b5,FAMUS62,2025-05-24 14:57:54.549414,1767,2375,38.689087,-76.871643,C-17A Globemaster,353,191,
ae1449,RCH045,2025-05-24 14:58:54.928036,7376,36000,38.906757,-97.678642,C-17A Globemaster,248,384,
ae20c6,RCH878,2025-05-24 14:58:54.928057,1772,35000,41.872955,-85.335365,C-17A Globemaster,81,544,
ae1176,GRIT58,2025-05-24 14:58:54.928066,4501,875,25.628036,-80.151878,C-17A Globemaster,43,238,
ae10b5,FAMUS62,2025-05-24 14:58:54.928074,1767,1850,38.733562,-76.870102,C-17A Globemaster,2,134,
ae1449,RCH045,2025-05-24 14:59:55.272893,7376,36000,38.868359,-97.806374,C-17A Globemaster,249,383,
ae20c6,RCH878,2025-05-24 14:59:55.272914,1772,35000,41.894421,-85.114441,C-17A Globemaster,83,553,
ae1176,GRIT58,2025-05-24 14:59:55.272923,4501,875,25.627487,-80.087837,C-17A Globemaster,143,228,
ae10b5,FAMUS62,2025-05-24 14:59:55.272929,1767,1150,38.767384,-76.870499,C-17A Globemaster,2,128,
ae1449,RCH045,2025-05-24 15:00:55.653470,7376,36000,38.827171,-97.936989,C-17A Globemaster,246,378,
ae20c6,RCH878,2025-05-24 15:00:55.653488,1772,35000,41.913567,-84.920242,C-17A Globemaster,82,526,
ae1176,GRIT58,2025-05-24 15:00:55.653496,4501,850,25.600332,-80.126556,C-17A Globemaster,307,252,
ae10b5,FAMUS62,2025-05-24 15:00:55.653502,1767,225,38.794697,-76.868591,C-17A Globemaster,352,116,
ae1449,RCH045,2025-05-24 15:01:55.993923,7376,36000,38.789696,-98.058586,C-17A Globemaster,248,387,
ae20c6,RCH878,2025-05-24 15:01:55.993943,1772,35000,41.935146,-84.707954,C-17A Globemaster,84,542,
ae1176,GRIT58,2025-05-24 15:01:55.993951,4501,1250,25.667181,-80.135315,C-17A Globemaster,3,246,
ae1235,RCH863,2025-05-24 15:02:56.329430,727,34000,47.171383,-114.331169,C-17A Globemaster,287,426,
ae1449,RCH045,2025-05-24 15:02:56.329451,7376,36000,38.749252,-98.187325,C-17A Globemaster,247,407,
ae20c6,RCH878,2025-05-24 15:02:56.329460,1772,35000,41.955009,-84.500626,C-17A Globemaster,83,550,
ae1176,GRIT58,2025-05-24 15:02:56.329467,4501,525,25.739338,-80.127228,C-17A Globemaster,7,318,
ae1235,RCH863,2025-05-24 15:03:56.676288,727,34000,47.217239,-114.536942,C-17A Globemaster,288,429,
ae1449,RCH045,2025-05-24 15:03:56.676308,7376,36000,38.7103,-98.31279,C-17A Globemaster,249,380,
ae20c6,RCH878,2025-05-24 15:03:56.676316,1772,35000,41.972919,-84.304909,C-17A Globemaster,82,562,
ae1176,GRIT58,2025-05-24 15:03:56.676323,4501,575,25.815868,-80.094215,C-17A Globemaster,24,236,
ae1235,RCH863,2025-05-24 15:04:57.041504,727,34000,47.253998,-114.704704,C-17A Globemaster,288,437,
ae1449,RCH045,2025-05-24 15:04:57.041529,7376,36000,38.668236,-98.44619,C-17A Globemaster,246,383,
ae20c6,RCH878,2025-05-24 15:04:57.041539,1772,35000,41.992382,-84.092941,C-17A Globemaster,84,568,
ae1176,GRIT58,2025-05-24 15:04:57.041547,4501,525,25.817596,-80.114746,C-17A Globemaster,188,122,
ae1235,RCH863,2025-05-24 15:05:57.375770,727,34000,47.296837,-114.876938,C-17A Globemaster,292,430,
ae1449,RCH045,2025-05-24 15:05:57.375792,7376,36000,38.629757,-98.570518,C-17A Globemaster,249,389,
ae20c6,RCH878,2025-05-24 15:05:57.375801,1772,35000,42.011456,-83.883888,C-17A Globemaster,83,557,
ae1176,GRIT58,2025-05-24 15:05:57.375808,4501,550,25.784121,-80.121162,C-17A Globemaster,190,121,
ae1196,RCH333,2025-05-24 15:05:57.375816,2401,34000,49.476379,-60.961399,C-17A Globemaster,256,435,
ae1235,RCH863,2025-05-24 15:06:57.747674,727,34000,47.335903,-115.028847,C-17A Globemaster,291,420,
ae1449,RCH045,2025-05-24 15:06:57.747695,7376,36000,38.588783,-98.700752,C-17A Globemaster,249,389,
ae20c6,RCH878,2025-05-24 15:06:57.747705,1772,35000,42.028328,-83.679054,C-17A Globemaster,84,559,
ae1176,GRIT58,2025-05-24 15:06:57.747712,4501,525,25.744308,-80.112709,C-17A Globemaster,220,168,
ae1196,RCH333,2025-05-24 15:06:57.747720,2401,34000,49.447723,-61.143398,C-17A Globemaster,256,437,
ae1235,RCH863,2025-05-24 15:07:58.102085,727,34000,47.378052,-115.192863,C-17A Globemaster,291,429,
ae1449,RCH045,2025-05-24 15:07:58.102106,7376,36000,38.548298,-98.828087,C-17A Globemaster,248,386,
ae20c6,RCH878,2025-05-24 15:07:58.102115,1772,35000,42.046921,-83.472397,C-17A Globemaster,84,552,
ae1176,GRIT58,2025-05-24 15:07:58.102122,4501,550,25.776718,-80.12355,C-17A Globemaster,14,172,
ae1196,RCH333,2025-05-24 15:07:58.102130,2401,34000,49.435265,-61.222576,C-17A Globemaster,256,437,
ae1235,RCH863,2025-05-24 15:08:58.446119,727,34100,47.420273,-115.357002,C-17A Globemaster,291,439,
ae1449,RCH045,2025-05-24 15:08:58.446141,7376,36000,38.506432,-98.954292,C-17A Globemaster,247,398,
ae20c6,RCH878,2025-05-24 15:08:58.446150,1772,35000,42.058121,-83.264519,C-17A Globemaster,88,559,
ae1176,GRIT58,2025-05-24 15:08:58.446158,4501,525,25.771227,-80.117073,C-17A Globemaster,291,180,
ae1196,RCH333,2025-05-24 15:08:58.446166,2401,34000,49.390202,-61.503994,C-17A Globemaster,256,438,
ae1235,RCH863,2025-05-24 15:09:58.777682,727,35250,47.46439,-115.536873,C-17A Globemaster,289,427,
ae1449,RCH045,2025-05-24 15:09:58.777704,7376,36000,38.466145,-99.080292,C-17A Globemaster,249,378,
ae20c6,RCH878,2025-05-24 15:09:58.777713,1772,35000,42.068005,-83.059952,C-17A Globemaster,85,556,
ae1176,GRIT58,2025-05-24 15:09:58.777720,4501,700,25.821671,-80.10788,C-17A Globemaster,28,238,
ae1196,RCH333,2025-05-24 15:09:58.777728,2401,34000,49.360291,-61.688232,C-17A Globemaster,255,438,
ae1235,RCH863,2025-05-24 15:10:59.158312,727,36000,47.505417,-115.699265,C-17A Globemaster,291,425,
ae1449,RCH045,2025-05-24 15:10:59.158333,7376,36000,38.423691,-99.21125,C-17A Globemaster,248,382,
ae20c6,RCH878,2025-05-24 15:10:59.158342,1772,35000,42.077312,-82.852547,C-17A Globemaster,85,552,
ae1176,GRIT58,2025-05-24 15:10:59.158349,4501,900,25.835129,-80.065147,C-17A Globemaster,118,249,
ae1196,RCH333,2025-05-24 15:10:59.158356,2401,34000,49.331268,-61.865845,C-17A Globemaster,255,442,
ae1235,RCH863,2025-05-24 15:11:59.522145,727,36000,47.550785,-115.875069,C-17A Globemaster,290,434,
ae1449,RCH045,2025-05-24 15:11:59.522164,7376,36000,38.382648,-99.332397,C-17A Globemaster,247,421,
ae20c6,RCH878,2025-05-24 15:11:59.522172,1772,35000,42.086597,-82.641251,C-17A Globemaster,87,555,
ae1469,RCH676,2025-05-24 15:11:59.522178,,1400,43.108322,-70.846657,C-17A Globemaster,,,
ae1196,RCH333,2025-05-24 15:11:59.522184,2401,34000,49.300217,-62.05331,C-17A Globemaster,255,439,
ae1235,RCH863,2025-05-24 15:13:12.375768,727,36000,47.599659,-116.071823,C-17A Globemaster,290,431,
ae1449,RCH045,2025-05-24 15:13:12.375789,7376,36000,38.334229,-99.485703,C-17A Globemaster,248,370,
ae20c6,RCH878,2025-05-24 15:13:12.375798,1772,35000,42.098801,-82.385902,C-17A Globemaster,87,554,
ae1469,RCH676,2025-05-24 15:13:12.375806,1330,2800,43.174809,-70.894592,C-17A Globemaster,332,264,
ae1196,RCH333,2025-05-24 15:13:12.375812,2401,34000,49.263252,-62.273762,C-17A Globemaster,255,443,
ae1235,RCH863,2025-05-24 15:14:12.697791,727,36000,47.639767,-116.237152,C-17A Globemaster,290,428,
ae1449,RCH045,2025-05-24 15:14:12.697805,7376,36000,38.291267,-99.61586,C-17A Globemaster,247,410,
ae20c6,RCH878,2025-05-24 15:14:12.697811,1772,35000,42.106274,-82.186554,C-17A Globemaster,87,569,
ae1469,RCH676,2025-05-24 15:14:12.697816,1330,4300,43.239189,-70.901276,C-17A Globemaster,37,359,
ae1196,RCH333,2025-05-24 15:14:12.697821,2401,35075,49.233089,-62.452938,C-17A Globemaster,255,439,
ae1235,RCH863,2025-05-24 15:15:13.097470,727,36000,47.680939,-116.40831,C-17A Globemaster,289,430,
ae1449,RCH045,2025-05-24 15:15:13.097490,7376,36000,38.249535,-99.743553,C-17A Globemaster,248,382,
ae20c6,RCH878,2025-05-24 15:15:13.097500,1772,35000,42.11401,-81.970215,C-17A Globemaster,89,559,
ae1469,RCH676,2025-05-24 15:15:13.097510,1330,5400,43.293686,-70.817177,C-17A Globemaster,45,280,
ae1196,RCH333,2025-05-24 15:15:13.097517,2401,35800,49.201897,-62.633995,C-17A Globemaster,255,443,
ae1235,RCH863,2025-05-24 15:16:13.418756,727,36000,47.722404,-116.578239,C-17A Globemaster,290,427,
ae1449,RCH045,2025-05-24 15:16:13.418778,7376,36000,38.209724,-99.863121,C-17A Globemaster,247,382,
ae20c6,RCH878,2025-05-24 15:16:13.418787,1772,35000,42.122238,-81.763474,C-17A Globemaster,87,560,
ae1176,GRIT58,2025-05-24 15:16:13.418796,4501,900,25.743759,-80.021416,C-17A Globemaster,156,230,
ae1469,RCH676,2025-05-24 15:16:13.418804,1330,6850,43.348328,-70.734077,C-17A Globemaster,49,296,
ae1196,RCH333,2025-05-24 15:16:13.418810,2401,36025,49.170135,-62.81567,C-17A Globemaster,254,436,
ae1235,RCH863,2025-05-24 15:17:13.770488,727,36000,47.76355,-116.751007,C-17A Globemaster,289,416,
ae1449,RCH045,2025-05-24 15:17:13.770509,7376,36000,38.169319,-99.982018,C-17A Globemaster,245,385,
ae20c6,RCH878,2025-05-24 15:17:13.770518,1772,35000,42.130112,-81.558121,C-17A Globemaster,86,544,
ae1176,GRIT58,2025-05-24 15:17:13.770524,4501,1300,25.678757,-80.023094,C-17A Globemaster,222,264,
ae1469,RCH676,2025-05-24 15:17:13.770531,1330,8150,43.402672,-70.649178,C-17A Globemaster,49,307,
ae1196,RCH333,2025-05-24 15:17:13.770536,2401,36025,49.138641,-62.995674,C-17A Globemaster,255,440,
ae1235,RCH863,2025-05-24 15:18:14.073275,727,36000,47.802406,-116.913452,C-17A Globemaster,289,427,
ae1449,RCH045,2025-05-24 15:18:14.073292,7376,36000,38.127274,-100.10894,C-17A Globemaster,247,381,
ae20c6,RCH878,2025-05-24 15:18:14.073300,1772,35000,42.137264,-81.33638,C-17A Globemaster,87,565,
ae1176,GRIT58,2025-05-24 15:18:14.073306,4501,1400,25.643875,-80.097656,C-17A Globemaster,244,268,
ae1469,RCH676,2025-05-24 15:18:14.073313,1330,9650,43.466316,-70.565247,C-17A Globemaster,38,308,
ae1196,RCH333,2025-05-24 15:18:14.073317,2401,36000,49.106651,-63.178036,C-17A Globemaster,254,438,
ae1235,RCH863,2025-05-24 15:19:14.439427,727,36000,47.843082,-117.085457,C-17A Globemaster,289,434,
ae1449,RCH045,2025-05-24 15:19:14.439446,7376,36000,38.085533,-100.234329,C-17A Globemaster,247,380,
ae20c6,RCH878,2025-05-24 15:19:14.439455,1772,35000,42.143867,-81.13633,C-17A Globemaster,87,575,
ae1176,GRIT58,2025-05-24 15:19:14.439461,4501,1400,25.611282,-80.172577,C-17A Globemaster,244,268,
ae1469,RCH676,2025-05-24 15:19:14.439468,1330,10650,43.5326,-70.486221,C-17A Globemaster,39,321,
ae1196,RCH333,2025-05-24 15:19:14.439473,2401,36025,49.07523,-63.354469,C-17A Globemaster,254,437,
ae1235,RCH863,2025-05-24 15:20:14.757498,727,36000,47.882622,-117.253067,C-17A Globemaster,289,414,
ae1449,RCH045,2025-05-24 15:20:14.757516,7376,36000,38.039143,-100.36869,C-17A Globemaster,245,383,
ae20c6,RCH878,2025-05-24 15:20:14.757523,1772,35000,42.150356,-80.915733,C-17A Globemaster,86,574,
ae1176,GRIT58,2025-05-24 15:20:14.757528,4501,1400,25.569189,-80.239372,C-17A Globemaster,227,264,
ae1469,RCH676,2025-05-24 15:20:14.757533,1330,11200,43.603939,-70.400597,C-17A Globemaster,41,355,
ae1196,RCH333,2025-05-24 15:20:14.757537,2401,36000,49.042969,-63.532852,C-17A Globemaster,254,440,
ae1235,RCH863,2025-05-24 15:21:15.114827,727,36000,47.922672,-117.423927,C-17A Globemaster,290,450,
ae1449,RCH045,2025-05-24 15:21:15.114845,7376,36000,37.993607,-100.50399,C-17A Globemaster,248,407,
ae20c6,RCH878,2025-05-24 15:21:15.114854,1772,35000,42.156067,-80.705215,C-17A Globemaster,88,566,
ae1176,GRIT58,2025-05-24 15:21:15.114859,4501,1350,25.524824,-80.305443,C-17A Globemaster,238,260,
ae1469,RCH676,2025-05-24 15:21:15.114866,1330,12000,43.679703,-70.309883,C-17A Globemaster,41,371,
ae1196,RCH333,2025-05-24 15:21:15.114871,2401,36000,49.009823,-63.714775,C-17A Globemaster,254,443,
ae1235,RCH863,2025-05-24 15:22:15.479433,727,36000,47.960045,-117.586838,C-17A Globemaster,288,419,
ae1449,RCH045,2025-05-24 15:22:15.479454,7376,36000,37.963413,-100.59359,C-17A Globemaster,247,394,
ae20c6,RCH878,2025-05-24 15:22:15.479463,1772,35000,42.162266,-80.493568,C-17A Globemaster,88,562,
