hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae11ea,2026-05-25 23:28:46.034676,UNK C/S,80-0137,Unavailable,17200,62.351753,-148.888809,E-3G AWACS,,,,False,mlat
ae1171,2026-05-25 23:28:46.034709,RCH125,02-1099,3256,34000,36.449844,-126.975479,C-17A Globemaster,251,449,128,False,adsb_icao
ae04c5,2026-05-25 23:28:46.034720,UNK C/S,59-1476,1565,30975,41.546722,-114.669487,KC-135R Stratotanker,165,471,,False,adsb_icao
ae07a8,2026-05-25 23:28:46.034725,UNK C/S,59-1508,7442,31250,38.200645,-113.612328,KC-135R Stratotanker,,,-1254,False,mlat
adfeb3,2026-05-25 23:28:46.034743,VCTRY01,73-1676,1623,2925,38.635712,-76.869965,E-4B Nightwatch,359,161,,False,adsb_icao
ae123a,2026-05-25 23:28:46.034751,RCH530,04-4128,0700,9300,14.611679,-17.310665,C-17A Globemaster,226,320,,False,adsb_icao
ae2fa7,2026-05-25 23:28:46.034756,RCH466,08-8195,0634,30000,50.834793,-4.36996,C-17A Globemaster,251,466,0,False,adsb_icao
ae0363,2026-05-25 23:28:46.034764,UNK C/S,60-0341,4131,20200,44.254234,25.326033,KC-135R Stratotanker,234,417,2240,False,adsb_icao
ae04e1,2026-05-25 23:28:46.034769,UNK C/S,58-0120,4137,13125,44.409817,25.6203,KC-135R Stratotanker,235,355,2239,False,mlat
06a249,2026-05-25 23:28:46.034774,LHOB270,A7-MAB,2056,24000,36.708389,27.8825,C-17A Globemaster,335,448,-1280,False,adsb_icao
ae1468,2026-05-25 23:28:46.034779,MOOSE68,07-7170,4403,34000,31.8,33.2,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:28:46.034785,UNK C/S,19-46110,1701,25000,37.0,-124.5,KC-46A Pegasus,,,,False,mode_s
ae013e,2026-05-25 23:28:46.034794,UNK C/S,63-7981,5366,22000,31.5,33.9,KC-135R Stratotanker,149,432,-160,False,mode_s
ae4f12,2026-05-25 23:28:46.034798,MOOSE67,10-0218,7424,33050,36.8,27.6,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:28:46.034805,UNK C/S,08-8198,2664,28000,22.1,-155.0,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:28:46.034809,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:28:46.034813,UNK C/S,59-1515,4000,26000,37.0,-124.6,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:28:46.034817,UNK C/S,19-46065,0711,17000,25.2,56.5,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:28:46.034821,UNK C/S,58-0089,1744,25450,36.9,-124.1,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:28:46.034829,RCH185,10-0216,1140,34000,34.0,32.9,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:28:46.034832,UNK C/S,63-8884,Unavailable,25000,50.5,-119.2,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:28:46.034836,MOOSE40,89-1191,3416,34000,32.2,33.4,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:29:47.456076,UNK C/S,80-0137,Unavailable,Unavailable,62.265789,-148.957504,E-3G AWACS,200,342,-1039,False,mlat
ae1171,2026-05-25 23:29:47.456104,RCH125,02-1099,3256,34000,36.407063,-127.122513,C-17A Globemaster,250,449,0,False,adsb_icao
ae04c5,2026-05-25 23:29:47.456113,UNK C/S,59-1476,1565,31000,41.415344,-114.624664,KC-135R Stratotanker,165,471,,False,adsb_icao
ae07a8,2026-05-25 23:29:47.456119,UNK C/S,59-1508,7442,29775,38.077354,-113.558113,KC-135R Stratotanker,,,-1650,False,mlat
adfeb3,2026-05-25 23:29:47.456140,VCTRY01,73-1676,1623,2400,38.680298,-76.870087,E-4B Nightwatch,359,156,,False,adsb_icao
ae123a,2026-05-25 23:29:47.456154,RCH530,04-4128,0700,10425,14.544223,-17.38331,C-17A Globemaster,226,356,,False,adsb_icao
ae2fa7,2026-05-25 23:29:47.456161,RCH466,08-8195,0634,30000,50.792633,-4.569199,C-17A Globemaster,251,468,-64,False,adsb_icao
ae0363,2026-05-25 23:29:47.456170,UNK C/S,60-0341,4131,22575,44.246841,25.311649,KC-135R Stratotanker,234,420,2368,False,adsb_icao
ae04e1,2026-05-25 23:29:47.456174,UNK C/S,58-0120,4137,15825,44.347305,25.498861,KC-135R Stratotanker,234,386,2648,False,mlat
06a249,2026-05-25 23:29:47.456180,LHOB270,A7-MAB,2056,21700,36.820866,27.819078,C-17A Globemaster,335,432,-2208,False,adsb_icao
ae1468,2026-05-25 23:29:47.456186,MOOSE68,07-7170,4403,34000,30.9,33.9,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:29:47.456192,UNK C/S,19-46110,1701,25000,37.9,-124.0,KC-46A Pegasus,,,,False,mode_s
ae013e,2026-05-25 23:29:47.456200,UNK C/S,63-7981,3425,22000,31.3,33.9,KC-135R Stratotanker,148,442,32,False,mode_s
ae4f12,2026-05-25 23:29:47.456205,MOOSE67,10-0218,7424,33025,36.7,27.6,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:29:47.456211,UNK C/S,08-8198,2664,28000,21.9,-154.7,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:29:47.456216,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:29:47.456219,UNK C/S,59-1515,4000,26000,37.0,-124.5,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:29:47.456224,UNK C/S,19-46065,0711,17000,25.1,56.4,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:29:47.456228,UNK C/S,58-0089,1744,25450,37.7,-124.0,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:29:47.456235,RCH185,10-0216,1140,34000,33.2,32.7,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:29:47.456239,UNK C/S,63-8884,Unavailable,24975,50.0,-118.9,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:29:47.456242,MOOSE40,89-1191,3416,34000,31.8,33.6,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:30:48.984373,UNK C/S,80-0137,Unavailable,15275,62.171768,-149.034195,E-3G AWACS,201,322,-917,False,mlat
ae1171,2026-05-25 23:30:48.984393,RCH125,02-1099,3256,34000,36.363071,-127.273048,C-17A Globemaster,250,452,-64,False,adsb_icao
ae04c5,2026-05-25 23:30:48.984400,UNK C/S,59-1476,1565,31000,41.286346,-114.580872,KC-135R Stratotanker,165,471,,False,adsb_icao
ae07a8,2026-05-25 23:30:48.984404,UNK C/S,59-1508,7442,28550,37.951977,-113.51342,KC-135R Stratotanker,168,429,-1219,False,mlat
adfeb3,2026-05-25 23:30:48.984416,VCTRY01,73-1676,1623,1575,38.722103,-76.870361,E-4B Nightwatch,0,144,,False,adsb_icao
ae123a,2026-05-25 23:30:48.984422,RCH530,04-4128,0700,11175,14.469739,-17.463636,C-17A Globemaster,226,392,,False,adsb_icao
ae2fa7,2026-05-25 23:30:48.984427,RCH466,08-8195,0634,30000,50.750504,-4.766388,C-17A Globemaster,251,467,64,False,adsb_icao
ae04e1,2026-05-25 23:30:48.984433,UNK C/S,58-0120,4137,18225,44.282875,25.372253,KC-135R Stratotanker,236,405,2146,False,mlat
06a249,2026-05-25 23:30:48.984437,LHOB270,A7-MAB,2056,19500,36.93306,27.755848,C-17A Globemaster,335,425,-1824,False,adsb_icao
ae1468,2026-05-25 23:30:48.984441,MOOSE68,07-7170,4403,34000,30.9,33.9,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:30:48.984445,UNK C/S,19-46110,Unavailable,25000,37.9,-123.6,KC-46A Pegasus,,,,False,mode_s
ae013e,2026-05-25 23:30:48.984452,UNK C/S,63-7981,3425,22000,31.0,33.9,KC-135R Stratotanker,149,442,0,False,mode_s
ae4f12,2026-05-25 23:30:48.984456,MOOSE67,10-0218,7424,33025,36.7,27.7,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:30:48.984462,UNK C/S,08-8198,2664,28000,22.1,-155.0,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:30:48.984465,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:30:48.984469,UNK C/S,59-1515,Unavailable,26000,37.7,-124.2,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:30:48.984473,UNK C/S,19-46065,0711,17000,25.2,56.5,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:30:48.984477,UNK C/S,58-0089,1744,25450,38.0,-123.9,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:30:48.984481,RCH185,10-0216,1140,34000,33.2,32.9,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:30:48.984485,UNK C/S,63-8884,3477,25000,50.0,-118.9,KC-135R Stratotanker,,,,False,mode_s
ae0363,2026-05-25 23:30:48.984488,UNK C/S,60-0341,4131,24775,44.1,25.1,KC-135R Stratotanker,234,442,2496,False,mode_s
ae07cf,2026-05-25 23:30:48.984491,MOOSE40,89-1191,3416,34000,32.2,33.3,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:31:50.315917,UNK C/S,80-0137,Unavailable,14275,62.083557,-149.101364,E-3G AWACS,200,325,-989,False,mlat
ae1171,2026-05-25 23:31:50.315927,RCH125,02-1099,3256,34000,36.32164,-127.414528,C-17A Globemaster,250,451,0,False,adsb_icao
ae04c5,2026-05-25 23:31:50.315931,UNK C/S,59-1476,1565,31000,41.154644,-114.536278,KC-135R Stratotanker,165,468,,False,adsb_icao
ae07a8,2026-05-25 23:31:50.315933,UNK C/S,59-1508,7442,28025,37.843472,-113.563065,KC-135R Stratotanker,218,450,-278,False,mlat
adfeb3,2026-05-25 23:31:50.315939,VCTRY01,73-1676,1623,800,38.764885,-76.870483,E-4B Nightwatch,359,149,,False,adsb_icao
ae123a,2026-05-25 23:31:50.315943,RCH530,04-4128,0700,12600,14.38916,-17.550138,C-17A Globemaster,226,402,,False,adsb_icao
ae2fa7,2026-05-25 23:31:50.315945,RCH466,08-8195,0634,30000,50.706886,-4.968719,C-17A Globemaster,251,467,0,False,adsb_icao
ae0363,2026-05-25 23:31:50.315948,UNK C/S,60-0341,4131,26725,44.044632,24.920439,KC-135R Stratotanker,234,454,1888,False,mlat
ae04e1,2026-05-25 23:31:50.315950,UNK C/S,58-0120,4137,20550,44.216064,25.244108,KC-135R Stratotanker,234,419,2456,False,mlat
06a249,2026-05-25 23:31:50.315953,LHOB270,A7-MAB,2056,17875,37.043518,27.69367,C-17A Globemaster,335,414,-1408,False,adsb_icao
ae1468,2026-05-25 23:31:50.315955,MOOSE68,07-7170,4403,34000,31.8,33.2,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:31:50.315957,UNK C/S,19-46110,1701,25000,37.6,-123.7,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:31:50.315960,MOOSE67,10-0218,7424,33025,36.8,27.6,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:31:50.315963,UNK C/S,08-8198,2664,28000,22.0,-154.9,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:31:50.315964,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:31:50.315966,UNK C/S,59-1515,4000,26000,38.1,-124.0,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:31:50.315968,UNK C/S,19-46065,0711,17000,25.5,57.7,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:31:50.315969,UNK C/S,58-0089,1744,25475,38.2,-123.9,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:31:50.315972,RCH185,10-0216,1140,34000,33.0,32.5,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:31:50.315973,UNK C/S,63-8884,3477,25000,50.5,-119.2,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:31:50.315975,MOOSE40,89-1191,3416,34000,32.3,33.3,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:32:51.687089,UNK C/S,80-0137,Unavailable,13575,61.994267,-149.170242,E-3G AWACS,199,322,-729,False,mlat
ae1171,2026-05-25 23:32:51.687117,RCH125,02-1099,3256,34000,36.280289,-127.555046,C-17A Globemaster,249,452,0,False,adsb_icao
ae04c5,2026-05-25 23:32:51.687131,UNK C/S,59-1476,1565,30975,41.027699,-114.493454,KC-135R Stratotanker,165,468,,False,adsb_icao
ae07a8,2026-05-25 23:32:51.687136,UNK C/S,59-1508,7442,28000,37.739994,-113.629387,KC-135R Stratotanker,207,414,-75,False,mlat
adfeb3,2026-05-25 23:32:51.687164,VCTRY01,73-1676,1623,200,38.796356,-76.870605,E-4B Nightwatch,359,146,,False,adsb_icao
ae123a,2026-05-25 23:32:51.687175,RCH530,04-4128,0700,13950,14.311368,-17.633442,C-17A Globemaster,226,409,,False,adsb_icao
ae2fa7,2026-05-25 23:32:51.687184,RCH466,08-8195,0634,30000,50.66423,-5.164442,C-17A Globemaster,250,466,0,False,adsb_icao
ae0363,2026-05-25 23:32:51.687197,UNK C/S,60-0341,4131,27000,43.962017,24.761045,KC-135R Stratotanker,234,464,32,False,mlat
ae04e1,2026-05-25 23:32:51.687202,UNK C/S,58-0120,4137,22700,44.144753,25.108025,KC-135R Stratotanker,234,418,2191,False,mlat
06a249,2026-05-25 23:32:51.687211,LHOB270,A7-MAB,2056,16200,37.148964,27.634138,C-17A Globemaster,335,408,-1632,False,adsb_icao
ae1468,2026-05-25 23:32:51.687219,MOOSE68,07-7170,4403,34000,32.8,33.8,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:32:51.687225,UNK C/S,19-46110,1701,25000,38.1,-123.7,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:32:51.687238,MOOSE67,10-0218,7424,33025,36.7,27.7,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:32:51.687246,UNK C/S,08-8198,2664,28000,22.1,-155.0,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:32:51.687251,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:32:51.687256,UNK C/S,59-1515,4000,26000,38.2,-123.8,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:32:51.687263,UNK C/S,19-46065,0711,17000,25.4,57.4,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:32:51.687268,UNK C/S,58-0089,1744,25475,37.4,-123.5,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:32:51.687276,RCH185,10-0216,1140,34000,33.3,32.4,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:32:51.687280,UNK C/S,63-8884,Unavailable,25000,48.7,-117.7,KC-135R Stratotanker,,,,False,mode_s
ae146c,2026-05-25 23:32:51.687285,UNK C/S,07-7174,3306,Unavailable,33.7,31.7,C-17A Globemaster,,,,False,mode_s
ae07cf,2026-05-25 23:32:51.687288,MOOSE40,89-1191,3416,34000,32.1,33.4,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:33:53.039934,UNK C/S,80-0137,Unavailable,13275,61.909374,-149.23941,E-3G AWACS,200,308,-72,False,mlat
ae1171,2026-05-25 23:33:53.039960,RCH125,02-1099,3256,34000,36.267746,-127.597504,C-17A Globemaster,249,452,0,False,adsb_icao
ae04c5,2026-05-25 23:33:53.039971,UNK C/S,59-1476,1565,31025,40.897911,-114.449951,KC-135R Stratotanker,165,467,,False,adsb_icao
ae07a8,2026-05-25 23:33:53.039975,UNK C/S,59-1508,7442,28000,37.628307,-113.705452,KC-135R Stratotanker,209,434,0,False,mlat
ae123a,2026-05-25 23:33:53.040002,RCH530,04-4128,0700,15150,14.229204,-17.721525,C-17A Globemaster,226,419,,False,adsb_icao
ae2fa7,2026-05-25 23:33:53.040011,RCH466,08-8195,0634,30000,50.621323,-5.359472,C-17A Globemaster,250,468,0,False,adsb_icao
ae0363,2026-05-25 23:33:53.040019,UNK C/S,60-0341,4131,27000,43.884232,24.612211,KC-135R Stratotanker,234,462,0,False,mlat
ae04e1,2026-05-25 23:33:53.040024,UNK C/S,58-0120,4137,24600,44.077267,24.973745,KC-135R Stratotanker,235,442,2033,False,mlat
06a249,2026-05-25 23:33:53.040029,LHOB270,A7-MAB,2056,14400,37.253986,27.574728,C-17A Globemaster,335,393,-1824,False,adsb_icao
ae1468,2026-05-25 23:33:53.040035,MOOSE68,07-7170,4403,34000,31.9,33.8,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:33:53.040040,UNK C/S,19-46110,1701,25000,38.2,-123.9,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:33:53.040049,MOOSE67,10-0218,7424,33025,36.5,28.0,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:33:53.040056,UNK C/S,08-8198,Unavailable,28000,22.1,-155.0,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:33:53.040060,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:33:53.040064,UNK C/S,59-1515,4000,26000,38.0,-123.9,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:33:53.040069,UNK C/S,19-46065,0711,17000,25.4,57.3,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:33:53.040073,UNK C/S,58-0089,Unavailable,25450,38.0,-123.7,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:33:53.040079,RCH185,10-0216,1140,34000,33.5,32.5,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:33:53.040083,UNK C/S,63-8884,Unavailable,25000,50.5,-119.2,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:33:53.040087,MOOSE40,89-1191,3416,34000,32.1,33.2,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:34:55.344573,UNK C/S,80-0137,Unavailable,13275,61.834923,-149.302521,E-3G AWACS,205,307,-2,False,mlat
ae1171,2026-05-25 23:34:55.344600,RCH125,02-1099,3256,34000,36.186172,-127.871758,C-17A Globemaster,249,452,0,False,adsb_icao
ae04c5,2026-05-25 23:34:55.344615,UNK C/S,59-1476,1565,30975,40.770683,-114.407501,KC-135R Stratotanker,165,468,,False,adsb_icao
ae07a8,2026-05-25 23:34:55.344621,UNK C/S,59-1508,7442,28000,37.52697,-113.77607,KC-135R Stratotanker,208,435,0,False,mlat
ae123a,2026-05-25 23:34:55.344648,RCH530,04-4128,0700,16425,14.145584,-17.811016,C-17A Globemaster,226,427,,False,adsb_icao
ae2fa7,2026-05-25 23:34:55.344655,RCH466,08-8195,0634,30000,50.577656,-5.556335,C-17A Globemaster,250,467,-64,False,adsb_icao
ae0363,2026-05-25 23:34:55.344668,UNK C/S,60-0341,4131,27000,43.814507,24.469872,KC-135R Stratotanker,233,462,-32,False,mlat
ae04e1,2026-05-25 23:34:55.344673,UNK C/S,58-0120,4137,26450,44.004478,24.835411,KC-135R Stratotanker,233,448,1217,False,mlat
06a249,2026-05-25 23:34:55.344681,LHOB270,A7-MAB,2056,12550,37.354614,27.517714,C-17A Globemaster,335,384,-1600,False,adsb_icao
ae1468,2026-05-25 23:34:55.344688,MOOSE68,07-7170,4403,34000,31.9,33.9,C-17A Globemaster,,,,False,mode_s
